"","elevation.species","species","elevation","flowering.minutes","number.of.visited.flowers","total.visitor.count","morpho.visitor.count","visitors.per.minute","total.morpho","total.func","most.common.func.morpho","most.common.morpho","most.common.morpho.count","most.common.func.count","most.common.morpho.func.count","proportion.most.common.morpho","proportion.most.common.func","mean_seedset","mean_PL_index","mean_ao_index","mean_go_index"
"1","2300Geranium a","Geranium a",2300,29605,1210,912,440,0.0308056071609525,35,7,"Other fly","Greyflywithdots",228,796,796,0.25,0.87280701754386,0.148,0.0209876543209877,0.044,NA
"2","2300Lactuca i","Lactuca i",2300,5419,130,79,19,0.0145783354862521,7,5,"Other fly","Tephritoideasp.26",8,54,20,0.10126582278481,0.253164556962025,0.144,0.0213103890160183,0.026,NA
"3","2300Hypericum r","Hypericum r",2300,27146,2189,1793,1164,0.0660502468135269,48,8,"Bee","Apismelifera",341,671,671,0.190184049079755,0.374233128834356,6.868,0.0101151698100833,0.009,0.021
"4","2300Clematis s","Clematis s",2300,210832,1498,587,411,0.00278420733095545,44,6,"Other fly","Anthomyiasp.02",122,332,332,0.207836456558773,0.565587734241908,0.259,0.0203757796713091,0.001,0.012
"5","2800Geranium a","Geranium a",2800,24598,621,450,268,0.0182941702577445,10,4,"Other fly","Anthomyiasp.02",150,372,372,0.333333333333333,0.826666666666667,0.241,0.00667009602194787,0.074,NA
"6","2800Senecio b","Senecio b",2800,90178,2955,1749,1039,0.0193949743839961,21,6,"Other fly","Anthomyiasp.02",420,1539,1539,0.240137221269297,0.879931389365352,0.152,0.0418798612412842,0,0.007
"7","2800Crepis h","Crepis h",2800,9273,597,487,170,0.0525180631942198,5,4,"Other fly","Anthomyiasp.02",90,317,317,0.184804928131417,0.650924024640657,7.041,0.0465415980056619,0.071,0.111
"8","2800Lactuca i","Lactuca i",2800,4988,181,157,89,0.0314755412991179,8,4,"Other fly","Anthomyiasp.02",46,135,135,0.292993630573248,0.859872611464968,0.388,0.0236656845653385,0.029,NA
"9","2800Senecio p","Senecio p",2800,201024,4183,1485,1349,0.0073871776504298,21,5,"Other fly","Stripedflywithant",501,1137,1137,0.337373737373737,0.765656565656566,0.523,0.00938737336113581,0.003,0.007
"10","2800Hypericum r","Hypericum r",2800,18501,4713,4370,1206,0.236203448462245,32,7,"Other fly","Anthomyiasp.02",602,3780,3780,0.137757437070938,0.864988558352403,31.818,0.0210366864101672,0.083,0.058
"11","2800Clematis s","Clematis s",2800,241683,1535,465,278,0.00192400789463885,14,6,"Moth","Anthomyiasp.02",78,242,157,0.167741935483871,0.337634408602151,0.384,0.0229536529863943,0.007,0.016
"12","3500Senecio b","Senecio b",3500,81088,1779,1254,820,0.015464680347277,9,5,"Other fly","Stripedflywithant",631,1239,1239,0.503189792663477,0.988038277511962,1.08,0.136470588235294,0,0.009
"13","3500Crepis h","Crepis h",3500,19478,1291,854,280,0.0438443372009447,8,3,"Other fly","Stripedflywithant",214,726,726,0.250585480093677,0.850117096018735,4.568,0.0160012826679493,0.233,0.287
"14","3500Lactuca i","Lactuca i",3500,9257,473,327,279,0.0353246192070865,6,2,"Other fly","Stripedflywithant",218,308,308,0.666666666666667,0.941896024464832,0.111,0.0802469135802469,0.006,NA
"15","3500Senecio p","Senecio p",3500,348737,6854,2251,2159,0.00645472089282181,18,4,"Other fly","Stripedflywithant",1502,1988,1988,0.667258996001777,0.883163038649489,1,0.1017338995046,0,0.015
"16","4000Crepis h","Crepis h",4000,12501,13,12,11,0.000959923206143509,6,1,"Other fly","Stripedflywithant, Stripedthinfly",0,12,12,0,1,0.983,0.0174311465167856,0.023,0.047
"17","4000Lactuca i","Lactuca i",4000,24050,11,9,1,0.000374220374220374,1,2,"Other fly","Stripedflywithant",1,6,3,0.111111111111111,0.333333333333333,0,0.0909090909090909,0,NA
"18","4000Senecio p","Senecio p",4000,260233,81,32,9,0.000122966725972494,3,4,"Other fly","Brachycerasp.02",5,27,27,0.15625,0.84375,0.01,0.027667556792538,0,0.007
